#,Color name,series #,hue,Value,Chroma,lightfastness “I”,opacity,pigment*,pigment name
310,payne’s gray,1,3.62pb,2.36,0.31,i,o,m,"ultramarine blue (pb 29), bone black (pbk 9), ultramarine violet (pv 15)"
316,phthalocyanine blue,1A,0.14p,2.37,4.6,i,tp,s,copper phthalocyanine (pb 15) (green shade)
314,phthalocyanine blue,2,9.03 bp,2.27,4.09,i,tp,s,phthalocyanine blue epsilon (pb15:6) (red shade)
317,phthalocyanine green,1A,9.88bg,2.57,2.23,i,tp,s,chlorinated copper phthalocyanine (pg 7) (blue shade)
319,phthalocyanine green,1A,0.43bg,2.74,3.36,i,tp,s,chlorinated and brominated copper phthalocyanine (pg 36) (yellow shade)
391,prism violet,2,9.77 p,2.5,1.35,ii,tp,m,"dioxazine carbazol (pv 23), quinacridone magenta (pr 122)"
320,prussian blue hue,2,9.10bp,2.29,1.05,ii,tl,m,"copper phthalocyanine (pb 15:3), carbazole dioxozine (pv 23), synthetic black iron oxide (pbk 11)"
326,pyrrole crimson,4,3.53 r,3.04,7.36,nr,o,s,pyrrol crimson (pr 264)
323,pyrrole orange,4,9.06r,5.41,14.62,nr,tl,s,pyrrol orange (po 73)
321,pyrrole red,4,6.16r,4.23,13.86,i,o,s,pyrrol red (pr 254)
118,quinacridone blue violet,3,8.66rp,2.47,1.71,i,tp,s,quinacridone violet b (pv 19)
108,quinacridone burnt orange,3,5.93r,2.91,2.48,i,tl,s,quinacridone (pr 206)
110,quinacridone crimson,3,3.98r,3.58,9.28,i,tp,s,gamma quinacridone red (pv 19)
114,quinacridone magenta,3,9.25rp,3.02,5.82,i,tp,s,quinacridone magenta (pr 122)
112,quinacridone red,3,5.43r,4.11,10.77,i,tp,s,quinacridone red gamma (pr 209)
109,quinacridone red-orange,3,5.48r,3.18,6.88,i,tp,s,quinacridone/pyrrolopyrrol
330,raw sienna,1,4.98yr,4.48,5.44,i,o,s,natural iron oxide (pbr 7)
331,raw umber,1,9.38yr,2.91,1.11,i,o,s,natural iron oxide containing manganese (pbr 7)
335,red oxide,1A,9.01r,4,7.47,i,o,s,synthetic red iron oxide (pr 101)
315,sap green permanent,2,8.48 gy,2.9,2.06,i,tl,m,"isoindolinone (py 139), phthalocyanine blue (pb 15:3), synthetic iron oxide black (pbk 11)"
432,titanium white,1,—,—,—,i,o,s,titanium dioxide (pw6)
129,transparent burnt sienna,3,7.33 r,3.12,2.75,i,tp,s,synthetic iron oxide red (pr 101)
130,transparent burnt umber,2,6.35 yr,2.72,0.19,i,tp,m,"synthetic iron oxide yellow (py 42), synthetic iron oxide red (pr 101), synthetic iron oxide black (pbk 11)"
430,transparent mixing white,1,2.52pb,9,0.71,i,tp,s,zinc white (pw4)
332,transparent raw sienna,3,6.70 yr,4.68,5.49,i,tp,s,synthetic iron oxide yellow (py 42)
333,transparent raw umber,2,4.28 yr,2.81,0.17,i,tp,m,"synthetic iron oxide yellow (py 42), synthetic iron oxide red (pr 101), synthetic iron oxide black (pbk 11)"
327,transparent viridian hue,2,6.78 bg 2.72,,2.72,i,tl,s,chlorinated copper phthalocyanine (pg 7)
730,turner’s yellow,2,2.08y,7.04,9.89,ii,tl,m,"Arylide yellow 10g (py 3), iron oxide yellow (py 42)"
561,turquoise deep,2,6.66pb,2.38,2.2,i,tl,m,"copper phthalocyanine (pb 15:3), chlorinated copper phthalocyanine (pg 7)"
380,ultramarine blue (green shade),1A,9.32 pb,2.28,7.29,i,tl,s,complex silicate of sodium and Aluminum with sulfur (pb 29)
382,ultramarine blue (red shade),1A,9.4bp,2,8,i,o,s,complex silicate of sodium and Aluminum with sulfur (pb 29)
434,unbleached titanium,1,0.93 y,8.03,2.73,i,o,m,"titanium white (pw6), synthetic iron oxide yellow (py 42), synthetic iron oxide red (pr 101), synthetic iron oxide black (pbk 11)"
392,van dyke red,2,1.97yr,2.69,1.38,nr,tl,s,benzimidazolone (pbr 25)
398,viridian hue permanent,1A,3.69bg,2.6,0.98,i,o,m,"raw umber (pbr 7), phthalocyanine green (pg 7)"
740,vivid lime green,1A,7.73gy,7.1,10.38,i,o,m,"Arylide yellow fgl (py 97), chlorinated copper phthalocyanine (pg 7) , titanium dioxide (pw6)"
620,vivid red orange,3,0.78yr,5.45,12.74,nr,tp,m,"pyrrol orange (po 73), isoindolanone (py 139)"
411,yellow light hansa,1A,0.48gy,8.6,10.97,ii,tp,s,Arylide yellow 10g (py 3)
412,yellow medium Azo,2,6.55y,7.98,11.69,i,tp,s,Arylide yellow 5gx (py 74 lf)
414,yellow orange Azo,2,8.58yr,7.12,13.04,i,tp,s,diarylide yellow (py 83 hr 70)
416,yellow oxide,1,0.39y,6.18,7.5,i,o,s,synthetic hydrated iron oxide (py 42)
